start,end,a0,b0,a1,b1,a1-a0,b1-b0,no_bclass_count
210.124.,210.124.,210,124,210,124,0,0,0
101.55.,101.55.,101,55,101,55,0,0,0
101.55.,101.55.,101,55,101,55,0,0,0
101.55.,101.55.,101,55,101,55,0,0,0
101.55.,101.55.,101,55,101,55,0,0,0
124.66.,124.66.,124,66,124,66,0,0,0
101.55.,101.55.,101,55,101,55,0,0,0
103.90.,103.90.,103,90,103,90,0,0,0
175.124.,175.124.,175,124,175,124,0,0,0
219.248.,219.248.,219,248,219,248,0,0,0
203.232.,203.232.,203,232,203,232,0,0,0
1.244.,1.244.,1,244,1,244,0,0,0
61.78.,61.78.,61,78,61,78,0,0,0
103.8.,103.8.,103,8,103,8,0,0,0
14.41.,14.41.,14,41,14,41,0,0,0
222.121.,222.121.,222,121,222,121,0,0,0
211.34.,211.34.,211,34,211,34,0,0,0
59.29.,59.29.,59,29,59,29,0,0,0
14.41.,14.41.,14,41,14,41,0,0,0
203.250.,203.250.,203,250,203,250,0,0,0
220.92.,220.92.,220,92,220,92,0,0,0
221.144.,221.144.,221,144,221,144,0,0,0
61.83.,61.83.,61,83,61,83,0,0,0
223.194.,223.194.,223,194,223,194,0,0,0
223.120.,223.120.,223,120,223,120,0,0,0
223.118.,223.118.,223,118,223,118,0,0,0
130.248.,130.248.,130,248,130,248,0,0,0
223.120.,223.120.,223,120,223,120,0,0,0
223.120.,223.120.,223,120,223,120,0,0,0
223.120.,223.120.,223,120,223,120,0,0,0
223.120.,223.120.,223,120,223,120,0,0,0
1.255.,1.255.,1,255,1,255,0,0,0
118.130.,118.130.,118,130,118,130,0,0,0
1.247.,1.247.,1,247,1,247,0,0,0
39.125.,39.125.,39,125,39,125,0,0,0
164.52.,164.52.,164,52,164,52,0,0,0
202.79.,202.79.,202,79,202,79,0,0,0
202.79.,202.79.,202,79,202,79,0,0,0
202.79.,202.79.,202,79,202,79,0,0,0
202.79.,202.79.,202,79,202,79,0,0,0
202.79.,202.79.,202,79,202,79,0,0,0
211.115.,211.115.,211,115,211,115,0,0,0
211.233.,211.233.,211,233,211,233,0,0,0
110.45.,110.45.,110,45,110,45,0,0,0
220.120.,220.120.,220,120,220,120,0,0,0
1.18.,1.18.,1,18,1,18,0,0,0
203.238.,203.238.,203,238,203,238,0,0,0
210.112.,210.112.,210,112,210,112,0,0,0
210.103.,210.103.,210,103,210,103,0,0,0
210.112.,210.112.,210,112,210,112,0,0,0
210.112.,210.112.,210,112,210,112,0,0,0
101.33.,101.33.,101,33,101,33,0,0,0
43.155.,43.155.,43,155,43,155,0,0,0
101.33.,101.33.,101,33,101,33,0,0,0
154.92.,154.92.,154,92,154,92,0,0,0
101.55.,101.55.,101,55,101,55,0,0,0
101.101.,101.101.,101,101,101,101,0,0,0
45.119.,45.119.,45,119,45,119,0,0,0
61.97.,61.97.,61,97,61,97,0,0,0
159.153.,159.153.,159,153,159,153,0,0,0
103.60.,103.60.,103,60,103,60,0,0,0
103.43.,103.43.,103,43,103,43,0,0,0
112.196.,112.196.,112,196,112,196,0,0,0
103.57.,103.57.,103,57,103,57,0,0,0
103.126.,103.126.,103,126,103,126,0,0,0
84.247.,84.247.,84,247,84,247,0,0,0
103.119.,103.119.,103,119,103,119,0,0,0
156.234.,156.234.,156,234,156,234,0,0,0
202.53.,202.53.,202,53,202,53,0,0,0
156.234.,156.234.,156,234,156,234,0,0,0
45.113.,45.113.,45,113,45,113,0,0,0
124.66.,124.66.,124,66,124,66,0,0,0
156.234.,156.234.,156,234,156,234,0,0,0
156.234.,156.234.,156,234,156,234,0,0,0
61.111.,61.111.,61,111,61,111,0,0,0
123.140.,123.140.,123,140,123,140,0,0,0
118.128.,118.128.,118,128,118,128,0,0,0
203.210.,203.210.,203,210,203,210,0,0,0
156.234.,156.234.,156,234,156,234,0,0,0
156.234.,156.234.,156,234,156,234,0,0,0
38.54.,38.54.,38,54,38,54,0,0,0
103.244.,103.244.,103,244,103,244,0,0,0
78.41.,78.41.,78,41,78,41,0,0,0
210.87.,210.87.,210,87,210,87,0,0,0
103.170.,103.170.,103,170,103,170,0,0,0
121.131.,121.131.,121,131,121,131,0,0,0
124.66.,124.66.,124,66,124,66,0,0,0
38.179.,38.179.,38,179,38,179,0,0,0
141.226.,141.226.,141,226,141,226,0,0,0
92.223.,92.223.,92,223,92,223,0,0,0
45.80.,45.80.,45,80,45,80,0,0,0
92.38.,92.38.,92,38,92,38,0,0,0
161.69.,161.69.,161,69,161,69,0,0,0
103.91.,103.91.,103,91,103,91,0,0,0
91.204.,91.204.,91,204,91,204,0,0,0
193.108.,193.108.,193,108,193,108,0,0,0
166.0.,166.0.,166,0,166,0,0,0,0
181.215.,181.215.,181,215,181,215,0,0,0
141.11.,141.11.,141,11,141,11,0,0,0
185.139.,185.139.,185,139,185,139,0,0,0
141.11.,141.11.,141,11,141,11,0,0,0
154.201.,154.201.,154,201,154,201,0,0,0
202.181.,202.181.,202,181,202,181,0,0,0
165.85.,165.85.,165,85,165,85,0,0,0
192.250.,192.250.,192,250,192,250,0,0,0
192.250.,192.250.,192,250,192,250,0,0,0
192.186.,192.186.,192,186,192,186,0,0,0
192.186.,192.186.,192,186,192,186,0,0,0
192.186.,192.186.,192,186,192,186,0,0,0
192.186.,192.186.,192,186,192,186,0,0,0
34.98.,34.98.,34,98,34,98,0,0,0
34.127.,34.127.,34,127,34,127,0,0,0
144.49.,144.49.,144,49,144,49,0,0,0
104.37.,104.37.,104,37,104,37,0,0,0
107.149.,107.149.,107,149,107,149,0,0,0
223.255.,223.255.,223,255,223,255,0,0,0
101.250.,101.250.,101,250,101,250,0,0,0
13.34.,13.34.,13,34,13,34,0,0,0
124.217.,124.217.,124,217,124,217,0,0,0
43.254.,43.254.,43,254,43,254,0,0,0
172.94.,172.94.,172,94,172,94,0,0,0
101.250.,101.250.,101,250,101,250,0,0,0
154.203.,154.203.,154,203,154,203,0,0,0
182.163.,182.163.,182,163,182,163,0,0,0
203.238.,203.238.,203,238,203,238,0,0,0
203.190.,203.190.,203,190,203,190,0,0,0
210.110.,210.110.,210,110,210,110,0,0,0
106.101.,106.101.,106,101,106,101,0,0,0
206.219.,206.219.,206,219,206,219,0,0,0
117.16.,117.16.,117,16,117,16,0,0,0
117.16.,117.16.,117,16,117,16,0,0,0
203.247.,203.247.,203,247,203,247,0,0,0
52.144.,52.144.,52,144,52,144,0,0,0
106.101.,106.101.,106,101,106,101,0,0,0
113.198.,113.198.,113,198,113,198,0,0,0
202.179.,202.179.,202,179,202,179,0,0,0
103.196.,103.196.,103,196,103,196,0,0,0
202.31.,202.31.,202,31,202,31,0,0,0
103.240.,103.240.,103,240,103,240,0,0,0
160.202.,160.202.,160,202,160,202,0,0,0
61.251.,61.251.,61,251,61,251,0,0,0
166.125.,166.125.,166,125,166,125,0,0,0
180.131.,180.131.,180,131,180,131,0,0,0
203.247.,203.247.,203,247,203,247,0,0,0
49.142.,49.142.,49,142,49,142,0,0,0
202.20.,202.20.,202,20,202,20,0,0,0
94.154.,94.154.,94,154,94,154,0,0,0
106.103.,106.103.,106,103,106,103,0,0,0
199.195.,199.195.,199,195,199,195,0,0,0
203.233.,203.233.,203,233,203,233,0,0,0
14.206.,14.206.,14,206,14,206,0,0,0
103.62.,103.62.,103,62,103,62,0,0,0
182.163.,182.163.,182,163,182,163,0,0,0
203.226.,203.226.,203,226,203,226,0,0,0
161.69.,161.69.,161,69,161,69,0,0,0
27.101.,27.101.,27,101,27,101,0,0,0
166.79.,166.79.,166,79,166,79,0,0,0
192.132.,192.132.,192,132,192,132,0,0,0
206.219.,206.219.,206,219,206,219,0,0,0
13.34.,13.34.,13,34,13,34,0,0,0
166.103.,166.103.,166,103,166,103,0,0,0
45.151.,45.151.,45,151,45,151,0,0,0
210.101.,210.101.,210,101,210,101,0,0,0
19.0.,19.0.,19,0,19,0,0,0,0
110.4.,110.4.,110,4,110,4,0,0,0
114.71.,114.71.,114,71,114,71,0,0,0
52.46.,52.46.,52,46,52,46,0,0,0
223.195.,223.195.,223,195,223,195,0,0,0
103.13.,103.13.,103,13,103,13,0,0,0
156.225.,156.225.,156,225,156,225,0,0,0
52.93.,52.93.,52,93,52,93,0,0,0
113.198.,113.198.,113,198,113,198,0,0,0
210.115.,210.115.,210,115,210,115,0,0,0
101.250.,101.250.,101,250,101,250,0,0,0
124.199.,124.199.,124,199,124,199,0,0,0
182.163.,182.163.,182,163,182,163,0,0,0
192.40.,192.40.,192,40,192,40,0,0,0
113.30.,113.30.,113,30,113,30,0,0,0
166.125.,166.125.,166,125,166,125,0,0,0
203.230.,203.230.,203,230,203,230,0,0,0
203.233.,203.233.,203,233,203,233,0,0,0
52.94.,52.94.,52,94,52,94,0,0,0
210.101.,210.101.,210,101,210,101,0,0,0
178.171.,178.171.,178,171,178,171,0,0,0
101.79.,101.79.,101,79,101,79,0,0,0
122.49.,122.49.,122,49,122,49,0,0,0
156.227.,156.227.,156,227,156,227,0,0,0
203.241.,203.241.,203,241,203,241,0,0,0
150.222.,150.222.,150,222,150,222,0,0,0
160.30.,160.30.,160,30,160,30,0,0,0
203.226.,203.226.,203,226,203,226,0,0,0
203.254.,203.254.,203,254,203,254,0,0,0
210.205.,210.205.,210,205,210,205,0,0,0
112.196.,112.196.,112,196,112,196,0,0,0
182.255.,182.255.,182,255,182,255,0,0,0
49.8.,49.8.,49,8,49,8,0,0,0
123.253.,123.253.,123,253,123,253,0,0,0
211.35.,211.35.,211,35,211,35,0,0,0
106.101.,106.101.,106,101,106,101,0,0,0
40.40.,40.40.,40,40,40,40,0,0,0
122.49.,122.49.,122,49,122,49,0,0,0
203.241.,203.241.,203,241,203,241,0,0,0
114.111.,114.111.,114,111,114,111,0,0,0
150.222.,150.222.,150,222,150,222,0,0,0
223.130.,223.130.,223,130,223,130,0,0,0
99.82.,99.82.,99,82,99,82,0,0,0
210.117.,210.117.,210,117,210,117,0,0,0
45.120.,45.120.,45,120,45,120,0,0,0
52.93.,52.93.,52,93,52,93,0,0,0
210.115.,210.115.,210,115,210,115,0,0,0
203.222.,203.222.,203,222,203,222,0,0,0
38.28.,38.28.,38,28,38,28,0,0,0
154.54.,154.54.,154,54,154,54,0,0,0
154.54.,154.54.,154,54,154,54,0,0,0
203.98.,203.98.,203,98,203,98,0,0,0
100.0.,100.0.,100,0,100,0,0,0,0
203.193.,203.193.,203,193,203,193,0,0,0
210.80.,210.80.,210,80,210,80,0,0,0
210.80.,210.80.,210,80,210,80,0,0,0
17.91.,17.91.,17,91,17,91,0,0,0
17.91.,17.91.,17,91,17,91,0,0,0
17.91.,17.91.,17,91,17,91,0,0,0
17.242.,17.242.,17,242,17,242,0,0,0
203.247.,203.247.,203,247,203,247,0,0,0
134.75.,134.75.,134,75,134,75,0,0,0
210.110.,210.110.,210,110,210,110,0,0,0
210.219.,210.219.,210,219,210,219,0,0,0
210.117.,210.117.,210,117,210,117,0,0,0
210.119.,210.119.,210,119,210,119,0,0,0
203.247.,203.247.,203,247,203,247,0,0,0
203.254.,203.254.,203,254,203,254,0,0,0
203.241.,203.241.,203,241,203,241,0,0,0
134.75.,134.75.,134,75,134,75,0,0,0
203.230.,203.230.,203,230,203,230,0,0,0
203.247.,203.247.,203,247,203,247,0,0,0
210.98.,210.98.,210,98,210,98,0,0,0
134.75.,134.75.,134,75,134,75,0,0,0
203.247.,203.247.,203,247,203,247,0,0,0
210.125.,210.125.,210,125,210,125,0,0,0
211.213.,211.213.,211,213,211,213,0,0,0
134.75.,134.75.,134,75,134,75,0,0,0
210.119.,210.119.,210,119,210,119,0,0,0
203.241.,203.241.,203,241,203,241,0,0,0
32.114.,32.114.,32,114,32,114,0,0,0
32.114.,32.114.,32,114,32,114,0,0,0
32.114.,32.114.,32,114,32,114,0,0,0
32.114.,32.114.,32,114,32,114,0,0,0
32.117.,32.117.,32,117,32,117,0,0,0
32.114.,32.114.,32,114,32,114,0,0,0
32.114.,32.114.,32,114,32,114,0,0,0
32.114.,32.114.,32,114,32,114,0,0,0
168.143.,168.143.,168,143,168,143,0,0,0
129.250.,129.250.,129,250,129,250,0,0,0
129.250.,129.250.,129,250,129,250,0,0,0
163.171.,163.171.,163,171,163,171,0,0,0
129.250.,129.250.,129,250,129,250,0,0,0
204.141.,204.141.,204,141,204,141,0,0,0
129.250.,129.250.,129,250,129,250,0,0,0
129.250.,129.250.,129,250,129,250,0,0,0
67.199.,67.199.,67,199,67,199,0,0,0
77.77.,77.77.,77,77,77,77,0,0,0
205.248.,205.248.,205,248,205,248,0,0,0
4.69.,4.69.,4,69,4,69,0,0,0
63.222.,63.222.,63,222,63,222,0,0,0
63.222.,63.222.,63,222,63,222,0,0,0
63.222.,63.222.,63,222,63,222,0,0,0
63.220.,63.220.,63,220,63,220,0,0,0
113.29.,113.29.,113,29,113,29,0,0,0
210.124.,210.124.,210,124,210,124,0,0,0
211.241.,211.241.,211,241,211,241,0,0,0
129.254.,129.254.,129,254,129,254,0,0,0
115.88.,115.88.,115,88,115,88,0,0,0
121.190.,121.190.,121,190,121,190,0,0,0
211.40.,211.40.,211,40,211,40,0,0,0
220.67.,220.67.,220,67,220,67,0,0,0
210.218.,210.218.,210,218,210,218,0,0,0
117.17.,117.17.,117,17,117,17,0,0,0
118.130.,118.130.,118,130,118,130,0,0,0
45.120.,45.120.,45,120,45,120,0,0,0
211.60.,211.60.,211,60,211,60,0,0,0
220.66.,220.66.,220,66,220,66,0,0,0
117.16.,117.16.,117,16,117,16,0,0,0
61.42.,61.42.,61,42,61,42,0,0,0
211.168.,211.168.,211,168,211,168,0,0,0
104.77.,104.77.,104,77,104,77,0,0,0
61.40.,61.40.,61,40,61,40,0,0,0
211.171.,211.171.,211,171,211,171,0,0,0
220.66.,220.66.,220,66,220,66,0,0,0
220.149.,220.149.,220,149,220,149,0,0,0
211.32.,211.32.,211,32,211,32,0,0,0
203.234.,203.234.,203,234,203,234,0,0,0
58.150.,58.150.,58,150,58,150,0,0,0
211.40.,211.40.,211,40,211,40,0,0,0
103.56.,103.56.,103,56,103,56,0,0,0
61.39.,61.39.,61,39,61,39,0,0,0
210.182.,210.182.,210,182,210,182,0,0,0
124.194.,124.194.,124,194,124,194,0,0,0
180.210.,180.210.,180,210,180,210,0,0,0
210.108.,210.108.,210,108,210,108,0,0,0
1.208.,1.208.,1,208,1,208,0,0,0
1.209.,1.209.,1,209,1,209,0,0,0
115.89.,115.89.,115,89,115,89,0,0,0
203.230.,203.230.,203,230,203,230,0,0,0
211.42.,211.42.,211,42,211,42,0,0,0
118.129.,118.129.,118,129,118,129,0,0,0
123.140.,123.140.,123,140,123,140,0,0,0
61.43.,61.43.,61,43,61,43,0,0,0
211.237.,211.237.,211,237,211,237,0,0,0
101.55.,101.55.,101,55,101,55,0,0,0
58.76.,58.76.,58,76,58,76,0,0,0
115.92.,115.92.,115,92,115,92,0,0,0
1.208.,1.208.,1,208,1,208,0,0,0
61.39.,61.39.,61,39,61,39,0,0,0
210.125.,210.125.,210,125,210,125,0,0,0
203.234.,203.234.,203,234,203,234,0,0,0
210.182.,210.182.,210,182,210,182,0,0,0
210.93.,210.93.,210,93,210,93,0,0,0
23.74.,23.74.,23,74,23,74,0,0,0
220.68.,220.68.,220,68,220,68,0,0,0
203.248.,203.248.,203,248,203,248,0,0,0
61.43.,61.43.,61,43,61,43,0,0,0
61.97.,61.97.,61,97,61,97,0,0,0
210.216.,210.216.,210,216,210,216,0,0,0
211.254.,211.254.,211,254,211,254,0,0,0
203.233.,203.233.,203,233,203,233,0,0,0
61.42.,61.42.,61,42,61,42,0,0,0
210.101.,210.101.,210,101,210,101,0,0,0
220.66.,220.66.,220,66,220,66,0,0,0
61.33.,61.33.,61,33,61,33,0,0,0
61.34.,61.34.,61,34,61,34,0,0,0
211.233.,211.233.,211,233,211,233,0,0,0
123.141.,123.141.,123,141,123,141,0,0,0
1.208.,1.208.,1,208,1,208,0,0,0
210.124.,210.124.,210,124,210,124,0,0,0
61.36.,61.36.,61,36,61,36,0,0,0
106.103.,106.103.,106,103,106,103,0,0,0
23.62.,23.62.,23,62,23,62,0,0,0
58.141.,58.141.,58,141,58,141,0,0,0
210.101.,210.101.,210,101,210,101,0,0,0
123.140.,123.140.,123,140,123,140,0,0,0
203.249.,203.249.,203,249,203,249,0,0,0
210.216.,210.216.,210,216,210,216,0,0,0
1.208.,1.208.,1,208,1,208,0,0,0
61.43.,61.43.,61,43,61,43,0,0,0
210.125.,210.125.,210,125,210,125,0,0,0
211.168.,211.168.,211,168,211,168,0,0,0
203.246.,203.246.,203,246,203,246,0,0,0
210.120.,210.120.,210,120,210,120,0,0,0
203.249.,203.249.,203,249,203,249,0,0,0
58.180.,58.180.,58,180,58,180,0,0,0
61.43.,61.43.,61,43,61,43,0,0,0
210.124.,210.124.,210,124,210,124,0,0,0
103.11.,103.11.,103,11,103,11,0,0,0
211.40.,211.40.,211,40,211,40,0,0,0
210.108.,210.108.,210,108,210,108,0,0,0
1.208.,1.208.,1,208,1,208,0,0,0
211.116.,211.116.,211,116,211,116,0,0,0
14.49.,14.49.,14,49,14,49,0,0,0
210.176.,210.176.,210,176,210,176,0,0,0
202.128.,202.128.,202,128,202,128,0,0,0
134.159.,134.159.,134,159,134,159,0,0,0
202.147.,202.147.,202,147,202,147,0,0,0
210.118.,210.118.,210,118,210,118,0,0,0
210.181.,210.181.,210,181,210,181,0,0,0
210.102.,210.102.,210,102,210,102,0,0,0
1.233.,1.233.,1,233,1,233,0,0,0
203.240.,203.240.,203,240,203,240,0,0,0
202.30.,202.30.,202,30,202,30,0,0,0
58.180.,58.180.,58,180,58,180,0,0,0
202.30.,202.30.,202,30,202,30,0,0,0
58.180.,58.180.,58,180,58,180,0,0,0
61.111.,61.111.,61,111,61,111,0,0,0
211.113.,211.113.,211,113,211,113,0,0,0
61.249.,61.249.,61,249,61,249,0,0,0
203.240.,203.240.,203,240,203,240,0,0,0
211.239.,211.239.,211,239,211,239,0,0,0
203.228.,203.228.,203,228,203,228,0,0,0
211.42.,211.42.,211,42,211,42,0,0,0
203.253.,203.253.,203,253,203,253,0,0,0
59.18.,59.18.,59,18,59,18,0,0,0
211.46.,211.46.,211,46,211,46,0,0,0
220.66.,220.66.,220,66,220,66,0,0,0
211.57.,211.57.,211,57,211,57,0,0,0
210.211.,210.211.,210,211,210,211,0,0,0
117.16.,117.16.,117,16,117,16,0,0,0
203.234.,203.234.,203,234,203,234,0,0,0
210.204.,210.204.,210,204,210,204,0,0,0
218.147.,218.147.,218,147,218,147,0,0,0
168.126.,168.126.,168,126,168,126,0,0,0
210.99.,210.99.,210,99,210,99,0,0,0
211.194.,211.194.,211,194,211,194,0,0,0
203.232.,203.232.,203,232,203,232,0,0,0
49.143.,49.143.,49,143,49,143,0,0,0
211.63.,211.63.,211,63,211,63,0,0,0
211.252.,211.252.,211,252,211,252,0,0,0
211.253.,211.253.,211,253,211,253,0,0,0
61.106.,61.106.,61,106,61,106,0,0,0
121.163.,121.163.,121,163,121,163,0,0,0
175.206.,175.206.,175,206,175,206,0,0,0
220.149.,220.149.,220,149,220,149,0,0,0
210.90.,210.90.,210,90,210,90,0,0,0
210.90.,210.90.,210,90,210,90,0,0,0
210.96.,210.96.,210,96,210,96,0,0,0
210.106.,210.106.,210,106,210,106,0,0,0
211.33.,211.33.,211,33,211,33,0,0,0
114.70.,114.70.,114,70,114,70,0,0,0
210.106.,210.106.,210,106,210,106,0,0,0
210.110.,210.110.,210,110,210,110,0,0,0
211.253.,211.253.,211,253,211,253,0,0,0
203.234.,203.234.,203,234,203,234,0,0,0
210.181.,210.181.,210,181,210,181,0,0,0
168.126.,168.126.,168,126,168,126,0,0,0
203.234.,203.234.,203,234,203,234,0,0,0
61.83.,61.83.,61,83,61,83,0,0,0
211.229.,211.229.,211,229,211,229,0,0,0
114.71.,114.71.,114,71,114,71,0,0,0
117.17.,117.17.,117,17,117,17,0,0,0
211.253.,211.253.,211,253,211,253,0,0,0
210.97.,210.97.,210,97,210,97,0,0,0
221.149.,221.149.,221,149,221,149,0,0,0
210.110.,210.110.,210,110,210,110,0,0,0
121.163.,121.163.,121,163,121,163,0,0,0
163.255.,163.255.,163,255,163,255,0,0,0
203.250.,203.250.,203,250,203,250,0,0,0
211.56.,211.56.,211,56,211,56,0,0,0
220.67.,220.67.,220,67,220,67,0,0,0
43.246.,43.246.,43,246,43,246,0,0,0
49.128.,49.128.,49,128,49,128,0,0,0
114.71.,114.71.,114,71,114,71,0,0,0
203.249.,203.249.,203,249,203,249,0,0,0
203.230.,203.230.,203,230,203,230,0,0,0
203.246.,203.246.,203,246,203,246,0,0,0
210.92.,210.92.,210,92,210,92,0,0,0
210.99.,210.99.,210,99,210,99,0,0,0
211.34.,211.34.,211,34,211,34,0,0,0
128.134.,128.134.,128,134,128,134,0,0,0
211.184.,211.184.,211,184,211,184,0,0,0
211.236.,211.236.,211,236,211,236,0,0,0
121.128.,121.128.,121,128,121,128,0,0,0
121.189.,121.189.,121,189,121,189,0,0,0
183.78.,183.78.,183,78,183,78,0,0,0
203.234.,203.234.,203,234,203,234,0,0,0
211.188.,211.188.,211,188,211,188,0,0,0
203.230.,203.230.,203,230,203,230,0,0,0
121.189.,121.189.,121,189,121,189,0,0,0
183.101.,183.101.,183,101,183,101,0,0,0
218.144.,218.144.,218,144,218,144,0,0,0
210.113.,210.113.,210,113,210,113,0,0,0
202.30.,202.30.,202,30,202,30,0,0,0
210.125.,210.125.,210,125,210,125,0,0,0
211.57.,211.57.,211,57,211,57,0,0,0
117.16.,117.16.,117,16,117,16,0,0,0
210.99.,210.99.,210,99,210,99,0,0,0
211.46.,211.46.,211,46,211,46,0,0,0
14.32.,14.32.,14,32,14,32,0,0,0
101.101.,101.101.,101,101,101,101,0,0,0
203.252.,203.252.,203,252,203,252,0,0,0
210.99.,210.99.,210,99,210,99,0,0,0
211.236.,211.236.,211,236,211,236,0,0,0
128.134.,128.134.,128,134,128,134,0,0,0
203.230.,203.230.,203,230,203,230,0,0,0
220.66.,220.66.,220,66,220,66,0,0,0
117.16.,117.16.,117,16,117,16,0,0,0
110.92.,110.92.,110,92,110,92,0,0,0
121.187.,121.187.,121,187,121,187,0,0,0
210.95.,210.95.,210,95,210,95,0,0,0
121.189.,121.189.,121,189,121,189,0,0,0
203.252.,203.252.,203,252,203,252,0,0,0
61.72.,61.72.,61,72,61,72,0,0,0
210.92.,210.92.,210,92,210,92,0,0,0
203.243.,203.243.,203,243,203,243,0,0,0
210.121.,210.121.,210,121,210,121,0,0,0
121.126.,121.126.,121,126,121,126,0,0,0
128.134.,128.134.,128,134,128,134,0,0,0
61.74.,61.74.,61,74,61,74,0,0,0
211.184.,211.184.,211,184,211,184,0,0,0
218.153.,218.153.,218,153,218,153,0,0,0
211.236.,211.236.,211,236,211,236,0,0,0
202.30.,202.30.,202,30,202,30,0,0,0
103.212.,103.212.,103,212,103,212,0,0,0
211.185.,211.185.,211,185,211,185,0,0,0
31.56.,31.56.,31,56,31,56,0,0,0
203.249.,203.249.,203,249,203,249,0,0,0
61.72.,61.72.,61,72,61,72,0,0,0
61.79.,61.79.,61,79,61,79,0,0,0
210.90.,210.90.,210,90,210,90,0,0,0
210.104.,210.104.,210,104,210,104,0,0,0
220.68.,220.68.,220,68,220,68,0,0,0
220.83.,220.83.,220,83,220,83,0,0,0
210.113.,210.113.,210,113,210,113,0,0,0
120.50.,120.50.,120,50,120,50,0,0,0
60.253.,60.253.,60,253,60,253,0,0,0
218.151.,218.151.,218,151,218,151,0,0,0
218.151.,218.151.,218,151,218,151,0,0,0
219.240.,219.240.,219,240,219,240,0,0,0
154.94.,154.94.,154,94,154,94,0,0,0
45.204.,45.204.,45,204,45,204,0,0,0
88.209.,88.209.,88,209,88,209,0,0,0
65.229.,65.229.,65,229,65,229,0,0,0
66.110.,66.110.,66,110,66,110,0,0,0
66.110.,66.110.,66,110,66,110,0,0,0
104.160.,104.160.,104,160,104,160,0,0,0
165.213.,165.213.,165,213,165,213,0,0,0
157.197.,157.197.,157,197,157,197,0,0,0
157.197.,157.197.,157,197,157,197,0,0,0
211.36.,211.36.,211,36,211,36,0,0,0
157.197.,157.197.,157,197,157,197,0,0,0
157.197.,157.197.,157,197,157,197,0,0,0
65.49.,65.49.,65,49,65,49,0,0,0
172.0.,172.0.,172,0,172,0,0,0,0
210.115.,210.115.,210,115,210,115,0,0,0
210.115.,210.115.,210,115,210,115,0,0,0
113.198.,113.198.,113,198,113,198,0,0,0
220.69.,220.69.,220,69,220,69,0,0,0
192.203.,192.203.,192,203,192,203,0,0,0
49.1.,49.1.,49,1,49,1,0,0,0
49.142.,49.142.,49,142,49,142,0,0,0
182.172.,182.172.,182,172,182,172,0,0,0
120.50.,120.50.,120,50,120,50,0,0,0
118.91.,118.91.,118,91,118,91,0,0,0
203.228.,203.228.,203,228,203,228,0,0,0
111.118.,111.118.,111,118,111,118,0,0,0
114.199.,114.199.,114,199,114,199,0,0,0
58.141.,58.141.,58,141,58,141,0,0,0
203.249.,203.249.,203,249,203,249,0,0,0
49.143.,49.143.,49,143,49,143,0,0,0
122.202.,122.202.,122,202,122,202,0,0,0
49.142.,49.142.,49,142,49,142,0,0,0
220.64.,220.64.,220,64,220,64,0,0,0
202.31.,202.31.,202,31,202,31,0,0,0
104.44.,104.44.,104,44,104,44,0,0,0
157.56.,157.56.,157,56,157,56,0,0,0
40.99.,40.99.,40,99,40,99,0,0,0
147.243.,147.243.,147,243,147,243,0,0,0
104.44.,104.44.,104,44,104,44,0,0,0
52.98.,52.98.,52,98,52,98,0,0,0
13.106.,13.106.,13,106,13,106,0,0,0
20.209.,20.209.,20,209,20,209,0,0,0
40.99.,40.99.,40,99,40,99,0,0,0
128.94.,128.94.,128,94,128,94,0,0,0
13.104.,13.104.,13,104,13,104,0,0,0
40.107.,40.107.,40,107,40,107,0,0,0
147.243.,147.243.,147,243,147,243,0,0,0
52.102.,52.102.,52,102,52,102,0,0,0
40.80.,40.80.,40,80,40,80,0,0,0
52.97.,52.97.,52,97,52,97,0,0,0
40.99.,40.99.,40,99,40,99,0,0,0
104.212.,104.212.,104,212,104,212,0,0,0
104.44.,104.44.,104,44,104,44,0,0,0
104.44.,104.44.,104,44,104,44,0,0,0
147.243.,147.243.,147,243,147,243,0,0,0
104.44.,104.44.,104,44,104,44,0,0,0
52.98.,52.98.,52,98,52,98,0,0,0
40.99.,40.99.,40,99,40,99,0,0,0
52.102.,52.102.,52,102,52,102,0,0,0
40.79.,40.79.,40,79,40,79,0,0,0
52.98.,52.98.,52,98,52,98,0,0,0
52.102.,52.102.,52,102,52,102,0,0,0
40.99.,40.99.,40,99,40,99,0,0,0
147.243.,147.243.,147,243,147,243,0,0,0
52.239.,52.239.,52,239,52,239,0,0,0
147.243.,147.243.,147,243,147,243,0,0,0
52.98.,52.98.,52,98,52,98,0,0,0
104.44.,104.44.,104,44,104,44,0,0,0
13.104.,13.104.,13,104,13,104,0,0,0
104.44.,104.44.,104,44,104,44,0,0,0
104.44.,104.44.,104,44,104,44,0,0,0
147.243.,147.243.,147,243,147,243,0,0,0
20.202.,20.202.,20,202,20,202,0,0,0
20.249.,20.249.,20,249,20,249,0,0,0
52.100.,52.100.,52,100,52,100,0,0,0
52.122.,52.122.,52,122,52,122,0,0,0
104.44.,104.44.,104,44,104,44,0,0,0
40.94.,40.94.,40,94,40,94,0,0,0
40.99.,40.99.,40,99,40,99,0,0,0
52.114.,52.114.,52,114,52,114,0,0,0
40.99.,40.99.,40,99,40,99,0,0,0
52.97.,52.97.,52,97,52,97,0,0,0
20.196.,20.196.,20,196,20,196,0,0,0
104.44.,104.44.,104,44,104,44,0,0,0
147.243.,147.243.,147,243,147,243,0,0,0
