start,end,a0,b0,a1,b1,a1-a0,b1-b0,no_bclass_count
1.247.,1.248.,1,247,1,248,0,1,0
175.122.,175.123.,175,122,175,123,0,1,0
175.118.,175.119.,175,118,175,119,0,1,0
116.120.,116.121.,116,120,116,121,0,1,0
1.248.,1.249.,1,248,1,249,0,1,0
218.49.,218.50.,218,49,218,50,0,1,0
113.216.,113.217.,113,216,113,217,0,1,0
219.252.,219.253.,219,252,219,253,0,1,0
124.136.,124.137.,124,136,124,137,0,1,0
61.33.,61.34.,61,33,61,34,0,1,0
1.222.,1.223.,1,222,1,223,0,1,0
1.213.,1.214.,1,213,1,214,0,1,0
165.243.,165.244.,165,243,165,244,0,1,0
211.190.,211.191.,211,190,211,191,0,1,0
211.195.,211.196.,211,195,211,196,0,1,0
211.229.,211.230.,211,229,211,230,0,1,0
218.146.,218.147.,218,146,218,147,0,1,0
14.35.,14.36.,14,35,14,36,0,1,0
121.150.,121.151.,121,150,121,151,0,1,0
59.0.,59.1.,59,0,59,1,0,1,0
59.12.,59.13.,59,12,59,13,0,1,0
222.112.,222.113.,222,112,222,113,0,1,0
211.218.,211.219.,211,218,211,219,0,1,0
211.192.,211.193.,211,192,211,193,0,1,0
220.118.,220.119.,220,118,220,119,0,1,0
220.77.,220.78.,220,77,220,78,0,1,0
119.195.,119.196.,119,195,119,196,0,1,0
119.192.,119.193.,119,192,119,193,0,1,0
115.21.,115.22.,115,21,115,22,0,1,0
211.224.,211.225.,211,224,211,225,0,1,0
59.17.,59.18.,59,17,59,18,0,1,0
125.128.,125.129.,125,128,125,129,0,1,0
211.222.,211.223.,211,222,211,223,0,1,0
182.198.,182.199.,182,198,182,199,0,1,0
211.108.,211.109.,211,108,211,109,0,1,0
211.208.,211.209.,211,208,211,209,0,1,0
114.206.,114.207.,114,206,114,207,0,1,0
211.58.,211.59.,211,58,211,59,0,1,0
118.217.,118.218.,118,217,118,218,0,1,0
118.128.,118.129.,118,128,118,129,0,1,0
222.110.,222.111.,222,110,222,111,0,1,0
14.38.,14.39.,14,38,14,39,0,1,0
175.192.,175.193.,175,192,175,193,0,1,0
210.125.,210.126.,210,125,210,126,0,1,0
211.252.,211.253.,211,252,211,253,0,1,0
121.134.,121.135.,121,134,121,135,0,1,0
121.169.,121.170.,121,169,121,170,0,1,0
59.26.,59.27.,59,26,59,27,0,1,0
59.10.,59.11.,59,10,59,11,0,1,0
211.33.,211.34.,211,33,211,34,0,1,0
220.119.,220.120.,220,119,220,120,0,1,0
121.170.,121.171.,121,170,121,171,0,1,0
220.76.,220.77.,220,76,220,77,0,1,0
125.131.,125.132.,125,131,125,132,0,1,0
210.178.,210.179.,210,178,210,179,0,1,0
175.194.,175.195.,175,194,175,195,0,1,0
175.115.,175.116.,175,115,175,116,0,1,0
211.204.,211.205.,211,204,211,205,0,1,0
58.226.,58.227.,58,226,58,227,0,1,0
116.124.,116.125.,116,124,116,125,0,1,0
116.122.,116.123.,116,122,116,123,0,1,0
211.214.,211.215.,211,214,211,215,0,1,0
219.240.,219.241.,219,240,219,241,0,1,0
118.216.,118.217.,118,216,118,217,0,1,0
221.138.,221.139.,221,138,221,139,0,1,0
222.235.,222.236.,222,235,222,236,0,1,0
147.46.,147.47.,147,46,147,47,0,1,0
111.218.,111.219.,111,218,111,219,0,1,0
13.124.,13.125.,13,124,13,125,0,1,0
125.240.,125.241.,125,240,125,241,0,1,0
125.248.,125.249.,125,248,125,249,0,1,0
124.138.,124.139.,124,138,124,139,0,1,0
58.102.,58.103.,58,102,58,103,0,1,0
211.118.,211.119.,211,118,211,119,0,1,0
211.105.,211.106.,211,105,211,106,0,1,0
59.14.,59.15.,59,14,59,15,0,1,0
112.170.,112.171.,112,170,112,171,0,1,0
222.108.,222.109.,222,108,222,109,0,1,0
175.206.,175.207.,175,206,175,207,0,1,0
220.78.,220.79.,220,78,220,79,0,1,0
220.94.,220.95.,220,94,220,95,0,1,0
222.116.,222.117.,222,116,222,117,0,1,0
211.184.,211.185.,211,184,211,185,0,1,0
121.133.,121.134.,121,133,121,134,0,1,0
110.165.,110.165.,110,165,110,165,0,0,0
#VALUE!,#VALUE!,#VALUE!,,#VALUE!,,#VALUE!,0,
#VALUE!,#VALUE!,#VALUE!,,#VALUE!,,#VALUE!,0,
#VALUE!,#VALUE!,#VALUE!,,#VALUE!,,#VALUE!,0,
220.149.,220.149.,220,149,220,149,0,0,0
182.163.,182.163.,182,163,182,163,0,0,0
211.172.,211.172.,211,172,211,172,0,0,0
16.0.,16.0.,16,0,16,0,0,0,0
114.141.,114.141.,114,141,114,141,0,0,0
202.30.,202.30.,202,30,202,30,0,0,0
112.213.,112.213.,112,213,112,213,0,0,0
203.238.,203.238.,203,238,203,238,0,0,0
59.150.,59.150.,59,150,59,150,0,0,0
59.150.,59.150.,59,150,59,150,0,0,0
210.117.,210.117.,210,117,210,117,0,0,0
15.230.,15.230.,15,230,15,230,0,0,0
154.81.,154.81.,154,81,154,81,0,0,0
59.150.,59.150.,59,150,59,150,0,0,0
117.16.,117.16.,117,16,117,16,0,0,0
172.107.,172.107.,172,107,172,107,0,0,0
59.150.,59.150.,59,150,59,150,0,0,0
203.249.,203.249.,203,249,203,249,0,0,0
114.141.,114.141.,114,141,114,141,0,0,0
45.113.,45.113.,45,113,45,113,0,0,0
210.115.,210.115.,210,115,210,115,0,0,0
223.253.,223.253.,223,253,223,253,0,0,0
114.70.,114.70.,114,70,114,70,0,0,0
114.110.,114.110.,114,110,114,110,0,0,0
202.30.,202.30.,202,30,202,30,0,0,0
203.254.,203.254.,203,254,203,254,0,0,0
103.253.,103.253.,103,253,103,253,0,0,0
223.194.,223.194.,223,194,223,194,0,0,0
203.249.,203.249.,203,249,203,249,0,0,0
45.126.,45.126.,45,126,45,126,0,0,0
103.60.,103.60.,103,60,103,60,0,0,0
106.101.,106.101.,106,101,106,101,0,0,0
175.41.,175.41.,175,41,175,41,0,0,0
14.206.,14.206.,14,206,14,206,0,0,0
163.171.,163.171.,163,171,163,171,0,0,0
175.106.,175.106.,175,106,175,106,0,0,0
180.131.,180.131.,180,131,180,131,0,0,0
81.171.,81.171.,81,171,81,171,0,0,0
182.173.,182.173.,182,173,182,173,0,0,0
99.78.,99.78.,99,78,99,78,0,0,0
203.235.,203.235.,203,235,203,235,0,0,0
210.16.,210.16.,210,16,210,16,0,0,0
220.149.,220.149.,220,149,220,149,0,0,0
210.115.,210.115.,210,115,210,115,0,0,0
168.219.,168.219.,168,219,168,219,0,0,0
101.250.,101.250.,101,250,101,250,0,0,0
203.238.,203.238.,203,238,203,238,0,0,0
182.163.,182.163.,182,163,182,163,0,0,0
220.149.,220.149.,220,149,220,149,0,0,0
157.197.,157.197.,157,197,157,197,0,0,0
106.101.,106.101.,106,101,106,101,0,0,0
114.70.,114.70.,114,70,114,70,0,0,0
203.226.,203.226.,203,226,203,226,0,0,0
210.125.,210.125.,210,125,210,125,0,0,0
3.4.,3.4.,3,4,3,4,0,0,0
103.252.,103.252.,103,252,103,252,0,0,0
89.117.,89.117.,89,117,89,117,0,0,0
203.246.,203.246.,203,246,203,246,0,0,0
180.210.,180.210.,180,210,180,210,0,0,0
45.250.,45.250.,45,250,45,250,0,0,0
210.114.,210.114.,210,114,210,114,0,0,0
14.206.,14.206.,14,206,14,206,0,0,0
101.79.,101.79.,101,79,101,79,0,0,0
121.252.,121.252.,121,252,121,252,0,0,0
117.16.,117.16.,117,16,117,16,0,0,0
89.207.,89.207.,89,207,89,207,0,0,0
72.8.,72.8.,72,8,72,8,0,0,0
211.188.,211.188.,211,188,211,188,0,0,0
211.237.,211.237.,211,237,211,237,0,0,0
202.14.,202.14.,202,14,202,14,0,0,0
101.79.,101.79.,101,79,101,79,0,0,0
203.98.,203.98.,203,98,203,98,0,0,0
100.0.,100.0.,100,0,100,0,0,0,0
203.193.,203.193.,203,193,203,193,0,0,0
17.0.,17.0.,17,0,17,0,0,0,0
17.91.,17.91.,17,91,17,91,0,0,0
17.91.,17.91.,17,91,17,91,0,0,0
89.213.,89.213.,89,213,89,213,0,0,0
149.88.,149.88.,149,88,149,88,0,0,0
154.200.,154.200.,154,200,154,200,0,0,0
154.200.,154.200.,154,200,154,200,0,0,0
210.110.,210.110.,210,110,210,110,0,0,0
203.230.,203.230.,203,230,203,230,0,0,0
218.233.,218.233.,218,233,218,233,0,0,0
210.98.,210.98.,210,98,210,98,0,0,0
202.30.,202.30.,202,30,202,30,0,0,0
210.98.,210.98.,210,98,210,98,0,0,0
210.219.,210.219.,210,219,210,219,0,0,0
203.250.,203.250.,203,250,203,250,0,0,0
210.98.,210.98.,210,98,210,98,0,0,0
210.117.,210.117.,210,117,210,117,0,0,0
210.218.,210.218.,210,218,210,218,0,0,0
203.163.,203.163.,203,163,203,163,0,0,0
32.114.,32.114.,32,114,32,114,0,0,0
192.56.,192.56.,192,56,192,56,0,0,0
32.114.,32.114.,32,114,32,114,0,0,0
32.114.,32.114.,32,114,32,114,0,0,0
129.250.,129.250.,129,250,129,250,0,0,0
204.245.,204.245.,204,245,204,245,0,0,0
129.250.,129.250.,129,250,129,250,0,0,0
131.103.,131.103.,131,103,131,103,0,0,0
63.216.,63.216.,63,216,63,216,0,0,0
63.220.,63.220.,63,220,63,220,0,0,0
63.222.,63.222.,63,222,63,222,0,0,0
203.231.,203.231.,203,231,203,231,0,0,0
1.208.,1.208.,1,208,1,208,0,0,0
203.248.,203.248.,203,248,203,248,0,0,0
210.108.,210.108.,210,108,210,108,0,0,0
211.32.,211.32.,211,32,211,32,0,0,0
220.67.,220.67.,220,67,220,67,0,0,0
223.194.,223.194.,223,194,223,194,0,0,0
210.216.,210.216.,210,216,210,216,0,0,0
61.106.,61.106.,61,106,61,106,0,0,0
220.66.,220.66.,220,66,220,66,0,0,0
203.249.,203.249.,203,249,203,249,0,0,0
211.174.,211.174.,211,174,211,174,0,0,0
220.66.,220.66.,220,66,220,66,0,0,0
114.71.,114.71.,114,71,114,71,0,0,0
210.124.,210.124.,210,124,210,124,0,0,0
61.110.,61.110.,61,110,61,110,0,0,0
210.112.,210.112.,210,112,210,112,0,0,0
211.234.,211.234.,211,234,211,234,0,0,0
106.241.,106.241.,106,241,106,241,0,0,0
61.101.,61.101.,61,101,61,101,0,0,0
211.62.,211.62.,211,62,211,62,0,0,0
61.43.,61.43.,61,43,61,43,0,0,0
220.68.,220.68.,220,68,220,68,0,0,0
114.71.,114.71.,114,71,114,71,0,0,0
61.39.,61.39.,61,39,61,39,0,0,0
210.107.,210.107.,210,107,210,107,0,0,0
210.182.,210.182.,210,182,210,182,0,0,0
203.233.,203.233.,203,233,203,233,0,0,0
220.66.,220.66.,220,66,220,66,0,0,0
203.240.,203.240.,203,240,203,240,0,0,0
203.248.,203.248.,203,248,203,248,0,0,0
118.128.,118.128.,118,128,118,128,0,0,0
220.67.,220.67.,220,67,220,67,0,0,0
114.71.,114.71.,114,71,114,71,0,0,0
210.92.,210.92.,210,92,210,92,0,0,0
115.92.,115.92.,115,92,115,92,0,0,0
220.68.,220.68.,220,68,220,68,0,0,0
220.149.,220.149.,220,149,220,149,0,0,0
61.39.,61.39.,61,39,61,39,0,0,0
211.40.,211.40.,211,40,211,40,0,0,0
220.66.,220.66.,220,66,220,66,0,0,0
121.254.,121.254.,121,254,121,254,0,0,0
121.254.,121.254.,121,254,121,254,0,0,0
211.53.,211.53.,211,53,211,53,0,0,0
1.208.,1.208.,1,208,1,208,0,0,0
203.246.,203.246.,203,246,203,246,0,0,0
210.98.,210.98.,210,98,210,98,0,0,0
61.33.,61.33.,61,33,61,33,0,0,0
61.38.,61.38.,61,38,61,38,0,0,0
210.207.,210.207.,210,207,210,207,0,0,0
211.60.,211.60.,211,60,211,60,0,0,0
211.169.,211.169.,211,169,211,169,0,0,0
211.170.,211.170.,211,170,211,170,0,0,0
223.194.,223.194.,223,194,223,194,0,0,0
117.17.,117.17.,117,17,117,17,0,0,0
61.42.,61.42.,61,42,61,42,0,0,0
203.230.,203.230.,203,230,203,230,0,0,0
106.103.,106.103.,106,103,106,103,0,0,0
203.248.,203.248.,203,248,203,248,0,0,0
101.55.,101.55.,101,55,101,55,0,0,0
210.108.,210.108.,210,108,210,108,0,0,0
61.5.,61.5.,61,5,61,5,0,0,0
61.42.,61.42.,61,42,61,42,0,0,0
210.217.,210.217.,210,217,210,217,0,0,0
115.89.,115.89.,115,89,115,89,0,0,0
117.16.,117.16.,117,16,117,16,0,0,0
118.129.,118.129.,118,129,118,129,0,0,0
210.92.,210.92.,210,92,210,92,0,0,0
203.246.,203.246.,203,246,203,246,0,0,0
220.67.,220.67.,220,67,220,67,0,0,0
210.92.,210.92.,210,92,210,92,0,0,0
210.108.,210.108.,210,108,210,108,0,0,0
61.97.,61.97.,61,97,61,97,0,0,0
211.233.,211.233.,211,233,211,233,0,0,0
118.129.,118.129.,118,129,118,129,0,0,0
210.207.,210.207.,210,207,210,207,0,0,0
23.35.,23.35.,23,35,23,35,0,0,0
210.102.,210.102.,210,102,210,102,0,0,0
220.69.,220.69.,220,69,220,69,0,0,0
220.68.,220.68.,220,68,220,68,0,0,0
220.149.,220.149.,220,149,220,149,0,0,0
211.168.,211.168.,211,168,211,168,0,0,0
61.100.,61.100.,61,100,61,100,0,0,0
210.125.,210.125.,210,125,210,125,0,0,0
211.233.,211.233.,211,233,211,233,0,0,0
210.206.,210.206.,210,206,210,206,0,0,0
220.68.,220.68.,220,68,220,68,0,0,0
1.213.,1.213.,1,213,1,213,0,0,0
211.32.,211.32.,211,32,211,32,0,0,0
211.237.,211.237.,211,237,211,237,0,0,0
220.66.,220.66.,220,66,220,66,0,0,0
203.235.,203.235.,203,235,203,235,0,0,0
1.214.,1.214.,1,214,1,214,0,0,0
202.84.,202.84.,202,84,202,84,0,0,0
203.192.,203.192.,203,192,203,192,0,0,0
210.112.,210.112.,210,112,210,112,0,0,0
211.190.,211.190.,211,190,211,190,0,0,0
58.180.,58.180.,58,180,58,180,0,0,0
150.150.,150.150.,150,150,150,150,0,0,0
121.50.,121.50.,121,50,121,50,0,0,0
150.150.,150.150.,150,150,150,150,0,0,0
61.110.,61.110.,61,110,61,110,0,0,0
203.251.,203.251.,203,251,203,251,0,0,0
211.190.,211.190.,211,190,211,190,0,0,0
211.191.,211.191.,211,191,211,191,0,0,0
211.61.,211.61.,211,61,211,61,0,0,0
202.30.,202.30.,202,30,202,30,0,0,0
203.251.,203.251.,203,251,203,251,0,0,0
61.111.,61.111.,61,111,61,111,0,0,0
61.110.,61.110.,61,110,61,110,0,0,0
211.191.,211.191.,211,191,211,191,0,0,0
203.228.,203.228.,203,228,203,228,0,0,0
203.251.,203.251.,203,251,203,251,0,0,0
203.254.,203.254.,203,254,203,254,0,0,0
210.121.,210.121.,210,121,210,121,0,0,0
218.147.,218.147.,218,147,218,147,0,0,0
203.229.,203.229.,203,229,203,229,0,0,0
114.70.,114.70.,114,70,114,70,0,0,0
221.151.,221.151.,221,151,221,151,0,0,0
125.128.,125.128.,125,128,125,128,0,0,0
203.254.,203.254.,203,254,203,254,0,0,0
59.14.,59.14.,59,14,59,14,0,0,0
211.41.,211.41.,211,41,211,41,0,0,0
117.16.,117.16.,117,16,117,16,0,0,0
175.202.,175.202.,175,202,175,202,0,0,0
202.31.,202.31.,202,31,202,31,0,0,0
210.179.,210.179.,210,179,210,179,0,0,0
217.60.,217.60.,217,60,217,60,0,0,0
222.96.,222.96.,222,96,222,96,0,0,0
117.17.,117.17.,117,17,117,17,0,0,0
203.223.,203.223.,203,223,203,223,0,0,0
43.230.,43.230.,43,230,43,230,0,0,0
210.97.,210.97.,210,97,210,97,0,0,0
203.234.,203.234.,203,234,203,234,0,0,0
210.101.,210.101.,210,101,210,101,0,0,0
210.204.,210.204.,210,204,210,204,0,0,0
203.234.,203.234.,203,234,203,234,0,0,0
203.239.,203.239.,203,239,203,239,0,0,0
210.103.,210.103.,210,103,210,103,0,0,0
211.46.,211.46.,211,46,211,46,0,0,0
113.198.,113.198.,113,198,113,198,0,0,0
210.179.,210.179.,210,179,210,179,0,0,0
59.14.,59.14.,59,14,59,14,0,0,0
222.117.,222.117.,222,117,222,117,0,0,0
117.16.,117.16.,117,16,117,16,0,0,0
128.134.,128.134.,128,134,128,134,0,0,0
121.189.,121.189.,121,189,121,189,0,0,0
220.66.,220.66.,220,66,220,66,0,0,0
114.70.,114.70.,114,70,114,70,0,0,0
114.71.,114.71.,114,71,114,71,0,0,0
211.38.,211.38.,211,38,211,38,0,0,0
211.113.,211.113.,211,113,211,113,0,0,0
211.188.,211.188.,211,188,211,188,0,0,0
220.66.,220.66.,220,66,220,66,0,0,0
103.12.,103.12.,103,12,103,12,0,0,0
121.189.,121.189.,121,189,121,189,0,0,0
74.124.,74.124.,74,124,74,124,0,0,0
210.104.,210.104.,210,104,210,104,0,0,0
220.66.,220.66.,220,66,220,66,0,0,0
210.92.,210.92.,210,92,210,92,0,0,0
211.34.,211.34.,211,34,211,34,0,0,0
211.47.,211.47.,211,47,211,47,0,0,0
211.184.,211.184.,211,184,211,184,0,0,0
218.152.,218.152.,218,152,218,152,0,0,0
49.50.,49.50.,49,50,49,50,0,0,0
114.71.,114.71.,114,71,114,71,0,0,0
211.43.,211.43.,211,43,211,43,0,0,0
103.228.,103.228.,103,228,103,228,0,0,0
223.255.,223.255.,223,255,223,255,0,0,0
210.99.,210.99.,210,99,210,99,0,0,0
210.95.,210.95.,210,95,210,95,0,0,0
121.189.,121.189.,121,189,121,189,0,0,0
203.237.,203.237.,203,237,203,237,0,0,0
211.226.,211.226.,211,226,211,226,0,0,0
14.36.,14.36.,14,36,14,36,0,0,0
112.174.,112.174.,112,174,112,174,0,0,0
121.170.,121.170.,121,170,121,170,0,0,0
168.126.,168.126.,168,126,168,126,0,0,0
210.115.,210.115.,210,115,210,115,0,0,0
112.174.,112.174.,112,174,112,174,0,0,0
121.190.,121.190.,121,190,121,190,0,0,0
165.133.,165.133.,165,133,165,133,0,0,0
168.126.,168.126.,168,126,168,126,0,0,0
211.253.,211.253.,211,253,211,253,0,0,0
183.96.,183.96.,183,96,183,96,0,0,0
210.104.,210.104.,210,104,210,104,0,0,0
210.123.,210.123.,210,123,210,123,0,0,0
210.178.,210.178.,210,178,210,178,0,0,0
211.201.,211.201.,211,201,211,201,0,0,0
221.150.,221.150.,221,150,221,150,0,0,0
202.168.,202.168.,202,168,202,168,0,0,0
203.236.,203.236.,203,236,203,236,0,0,0
203.246.,203.246.,203,246,203,246,0,0,0
211.231.,211.231.,211,231,211,231,0,0,0
61.72.,61.72.,61,72,61,72,0,0,0
210.105.,210.105.,210,105,210,105,0,0,0
210.110.,210.110.,210,110,210,110,0,0,0
139.181.,139.181.,139,181,139,181,0,0,0
210.103.,210.103.,210,103,210,103,0,0,0
163.222.,163.222.,163,222,163,222,0,0,0
175.196.,175.196.,175,196,175,196,0,0,0
124.66.,124.66.,124,66,124,66,0,0,0
210.103.,210.103.,210,103,210,103,0,0,0
211.230.,211.230.,211,230,211,230,0,0,0
121.189.,121.189.,121,189,121,189,0,0,0
121.189.,121.189.,121,189,121,189,0,0,0
203.234.,203.234.,203,234,203,234,0,0,0
210.104.,210.104.,210,104,210,104,0,0,0
220.67.,220.67.,220,67,220,67,0,0,0
114.71.,114.71.,114,71,114,71,0,0,0
121.128.,121.128.,121,128,121,128,0,0,0
211.252.,211.252.,211,252,211,252,0,0,0
210.103.,210.103.,210,103,210,103,0,0,0
210.110.,210.110.,210,110,210,110,0,0,0
220.67.,220.67.,220,67,220,67,0,0,0
211.216.,211.216.,211,216,211,216,0,0,0
121.189.,121.189.,121,189,121,189,0,0,0
123.140.,123.140.,123,140,123,140,0,0,0
203.249.,203.249.,203,249,203,249,0,0,0
203.249.,203.249.,203,249,203,249,0,0,0
124.137.,124.137.,124,137,124,137,0,0,0
211.234.,211.234.,211,234,211,234,0,0,0
218.151.,218.151.,218,151,218,151,0,0,0
210.122.,210.122.,210,122,210,122,0,0,0
154.206.,154.206.,154,206,154,206,0,0,0
115.108.,115.108.,115,108,115,108,0,0,0
116.0.,116.0.,116,0,116,0,0,0,0
120.29.,120.29.,120,29,120,29,0,0,0
104.160.,104.160.,104,160,104,160,0,0,0
104.160.,104.160.,104,160,104,160,0,0,0
157.197.,157.197.,157,197,157,197,0,0,0
112.107.,112.107.,112,107,112,107,0,0,0
203.254.,203.254.,203,254,203,254,0,0,0
122.101.,122.101.,122,101,122,101,0,0,0
203.244.,203.244.,203,244,203,244,0,0,0
157.197.,157.197.,157,197,157,197,0,0,0
157.197.,157.197.,157,197,157,197,0,0,0
202.20.,202.20.,202,20,202,20,0,0,0
211.189.,211.189.,211,189,211,189,0,0,0
203.254.,203.254.,203,254,203,254,0,0,0
210.118.,210.118.,210,118,210,118,0,0,0
203.246.,203.246.,203,246,203,246,0,0,0
157.197.,157.197.,157,197,157,197,0,0,0
157.197.,157.197.,157,197,157,197,0,0,0
123.32.,123.32.,123,32,123,32,0,0,0
157.197.,157.197.,157,197,157,197,0,0,0
184.104.,184.104.,184,104,184,104,0,0,0
184.104.,184.104.,184,104,184,104,0,0,0
49.1.,49.1.,49,1,49,1,0,0,0
